start	end	text
640	6120	Welcome everybody to Introduction to Deep Learning. My name is Professor Matthias
6120	10680	Niesner and it's a real pleasure to start this course. So this to me is a
10680	17280	very exciting course because we've had it for a couple of times and right now in
17280	20640	the recent years we've seen a lot of cool progress and I hope that we can
20640	25800	incorporate a lot of these things already in that course. So I first wanted
25800	30480	to start with a very brief introduction what this lecture is about,
30480	35220	specifically what deep learning is about and how does it fit in in a broader
35220	39840	picture of computer science, artificial intelligence, machine learning and then
39840	44680	finally deep learning. You will see probably a lot of different definitions
44680	49200	of these terms in the public, in the media, but I think I wanted to make it
49200	54360	very very clear how we in the in the research community and the academic
54360	60360	community define that. And on a very broad level I guess the definition right
60360	64860	now is how does how do we define deep learning. So deep learning generally
64860	69040	speaking is a is a sub area of machine learning and machine learning is a sub
69040	72780	area of artificial intelligence. So if you're thinking about it this is kind of
72780	77820	the largest the largest field in a sense that covers a lot more and
77820	80760	everything that is kind of machine learning is kind of a part of artificial
80760	86760	intelligence and everything in deep learning is part of machine learning. Now
86760	91260	there's also a little bit of confusion what what AI is and artificial intelligence
91260	98580	is because that's the thing probably that in the media is well misused quite a
98580	104400	bit and a lot of people have a very well not ideal understanding of what it means. But
104400	108760	in practically speaking AI actually could mean a lot of things and in practice it's
108760	114340	actually very broadly defined meaning that AI could actually be pretty much
114340	122560	anything that mimics intelligence with an artificial or computer program and that
122560	126760	could be very basic and very simple right you could imagine you just have an if
126760	130720	statement for instance that that's a form of an AI right because you say if
130720	136520	certain conditions are fulfilled then you having a certain a certain action
136520	139700	afterwards right a simple thing could be you measure the temperature you say if
139700	144680	it's cold turn up the heat right this is it's a very simple AI it's not that
144680	150320	intelligent in a sense but broadly speaking you would still define it as AI and
150320	156620	of course there's a lot of well how do you say it practically in a in a deep
156620	160520	learning context you would call it handcrafted AI and these are a lot of
160520	165680	algorithms or so that you have already heard in many other lectures. So simple
165680	170900	things like a binary search for instance right so you you you have a sorted array
170900	175940	and you're trying to find the index of the current element that you're searching
175940	180740	that that's that's the form of an AI right this is an algorithm that is hard
180740	186500	coded it's handcrafted in a sense by human but the method itself is then run on a
186500	190760	computer and it gives you an answer. So this is an artificial intelligence in a
190760	195980	sense it's very basic it's not that complicated but it still can take certain
195980	201920	actions in order to find some answers. And this is as I said it could be very
201920	208640	broadly like even like graph search methods like a star graph algorithms like
208640	214240	prime and cross call logic algorithms and so on these are all things that we would
214240	220360	consider AI right and it's very broadly speaking so in these specific methods
220360	224480	that I'm that I'm mentioning here there's no learning right so that's what I mean by
224480	233320	handcrafted these are hand coded by humans mostly by code there's some some method
233320	236860	behind it some algorithm behind it but there's mostly no learning involved and
236860	241920	this is actually the vast maturity of AI it's not that intelligent but it's still
241920	246420	some form of AI so this is why I wanted to define it that way. Machine learning
246420	252300	then is the subset which is doing the same thing except you learning and learning
252300	256620	for the most part when we talk about it is learning from data and by data I mean
256620	261720	from large data sets where we have training data and from this training data
261720	267600	we learn the behavior of the respective algorithms underneath. We will talk about
267600	273240	general machine learning methods also as part of this lecture not in specific
273240	278820	depth but we will still talk about some of the algorithms. Very simple machine
278820	283220	learning methods are linear logistic regression that's pretty much the
283220	286260	simplest thing we could imagine. That's actually something we will talk
286260	292860	already in the next lecture about because how to solve and optimize these kind of
292860	299940	methods is actually quite relevant and will lead to deep learning methods. There's also
299940	304380	more advanced methods that are not deep learning but are yet learning methods. Support vector
304380	313300	machines, SVMs and then random position trees, forests, jungles, ferns. These are also
313300	318980	other machine learning methods that are trained. They have also been or they are actually pretty popular
318980	323420	and widely used for certain applications. They're not deep learning methods but they're still learning
323420	328580	methods by itself. All right so this is kind of how we distinguish between AI method
328580	333440	generally speaking and then machine learning methods that actually train on data. And specifically the
333440	337940	first ones here we will talk about in the next lecture because they are very important to give you a
337940	345980	good introduction then later what comes in the learning and deep learning methods. Now in deep learning this is
345980	353980	actually the core focus of this lecture and deep learning methods actually they are very specific
354860	360380	learning methods and they are specific in a way that they utilize neural networks in a certain way.
361900	368060	And so what are neural networks? Well neural networks they are in a sense they're kind of like stacked
368700	375580	linear non-linear units together and we're going to call these multi-layer perceptrons and all these kind of
375580	381020	variations that form these neural networks they are going to be part of deep learnings. So neural networks
381020	385820	and deep learning it's kind of a synonym what we're going to use. And there's all kind of different
385820	391340	neural network architectures. So multi-layer perceptrons what I've just mentioned. We're going to talk about
391340	399020	convolutional neural networks, recurrent neural networks, transformers, generative models, and so on.
399020	405660	So these are all deep learning methods they're all based on some form of a neural network and this
405660	410940	is exactly what we will talk about in this lecture in a lot more detail and we will specifically also
410940	417100	talk about how the math backgrounds work behind it and we'll talk about specific applications in this
417100	426540	respective area. Now when we're talking about application areas that's a little bit orthogonal
426540	432060	but I wanted to mention that too like where do we actually use deep learning or other learning
432060	437500	methods it doesn't have to be deep learning alone. So there's of course a lot of areas in computer
437500	443820	computer science generally speaking and also beyond. The reason why I'm mentioning these areas here
443820	450540	these are areas that you know are in the last decade have made deep learning kind of big right these
450540	455500	were the methods where deep learning have been heavily used. So in computer vision we have seen
456140	460940	kind of like how to understand an image right what's in an image image classification image
460940	467020	segmentation like automatically kind of figuring out how to interpret how to understand what's in an
467020	473740	image what's in a video and then make a computer actually understand that. Medical imaging is actually
473740	478860	very similar in a sense right except that the sensors change slightly so for medical imaging we
478860	487020	um we don't take regular images um but instead we take things like cts x-rays stuff like that but we
487020	492220	also have segmentation problems we have classification problems and so on so these two are actually quite
492220	500140	related in a sense except the data changes a little bit um robotics is also related to a certain level
500140	505980	robotics then kind of like utilizes computer vision in one way um to figure out what the robot should
505980	513660	actually um do um typically you have some sensors and one of these sensors all of them are are real cameras um
513660	518220	and then you have basically first some computer vision things and then you have robotics um algorithms
518220	522620	running on top of it that figure out how to make decisions like self-driving cars is a is a good
522620	529340	application for robotics but also manufacturing um robots at home and stuff like this so all of these
529340	535340	kind of things um are also heavily relying on deep learning right now another big area is natural language
535340	543740	processing um um i mean i'm sure you've used um some version of translation um services and they all use
543740	550940	some sort of language models to figure out um how how to like translate from language a to language b um
550940	557100	but also nlp methods you probably also have heard recently about large language models um that is
557100	562140	very popular we're going to talk about this one a little bit um and these kind of language models
562140	569340	how they work um these are nlp methods and they also rely heavily heavily on on on machine learning
569340	575660	specifically deep learning methods um and then we have also computer graphics methods um computer graphics um
575660	582780	um i'm i'm i'm kind of like trying to describe as more or less generative ai individual domain so for
582780	589260	instance um you want to generate an image um from a random distribution or you want to generate an image
589260	595980	from a text description and we've seen like um text models stable diffusion deli these kind of methods
595980	601820	they're kind of graphics like methods that create some image as an output or even a video as an output
601820	608460	um and these are also very heavily relying on deep learning these things um these are not of course
608460	612780	the only areas of application of deep learning there's many many more um this is a little bit
612780	617980	related of course with our background right now from our research lab um but i think it's probably
617980	626220	fair to argue that specifically computer vision has actually driven a lot of the progress um in the last
626220	633180	decade like specifically convolutional networks have made a big impact um when it comes to developing
633180	639820	neural architectures when it comes to um downstream application and so on so in this lecture we will
639820	645900	actually take computer vision also as kind of a well i wouldn't say toy application but i wouldn't say
645900	651980	but but i would say probably like more as an application to guide the learning field um because this
651980	658380	is like also how it's historically being being you know researched and developed again in the last
658380	664140	decade so um when we're talking about computer vision we also have to define what computer vision
664140	671340	is right now because that's kind of like inherently connected to the progress in ai and in deep learning
671340	678060	specifically and um the reason why this is important for this course is we have to understand
678060	685020	what tasks do we have to deal with in computer vision specifically um and this is kind of funny
685020	693900	because computer vision in a sense is very connected to how ai researchers in the early days um have
693900	699100	thought about um more specifically computer vision was thought to be a specific application of ai
699740	707020	right so um so in the 60s ai researchers thought well you know we just try and mimic what the visual
707020	716940	computer visual system of the human does um and then we can figure out how computers or robots can
716940	723820	actually understand um what's going on in the real world and this was kind of very interesting because
723820	730700	in the 60s um from the medical side and from neuroscience side people actually had already or they at
730700	736860	least were attempting to get more and more knowledge in how the visual system worked and this
736860	742700	is so interesting because this is very connected actually with the development of neural networks
742700	746380	so of course i'm not saying that neural networks today in computer vision are doing what the human
746380	754060	brain does that would be by no means what i want to say but the the intent at the beginning was to
754060	760060	mimic what the human visual system is doing and that inspired what a lot of research in deep learning
760060	766780	actually ended up doing and and ended up um well giving a lot of creativity and inspiration how the
766780	775500	research went um and one very notable i wanted to give a very very brief history kind of how this was uh
775500	782620	how this was created um was this huble and weasel experiment and this huble and weasel experiment
782620	790540	um was quite interesting because this this is like um these were motor biologists from harvard um and
790540	797500	the idea there was they wanted to figure out how the human vision system works um and this experiment
797500	802460	revealed actually settled secrets how the human vision system works um these guys they won actually
802460	809020	two nobel prizes so you can imagine this was quite um quite important for the properties and a lot of the
809020	814220	things that these guys already figured out how the visual system here works for humans is something
814220	821260	actually we are using also as part of neural architecture design here um and what they have done
821260	830460	actually is they they they experiment on cats um and they recorded electrical activity from individual
830460	838380	neurons in the brains of the cats right so they basically figured out um if you have certain visual
838380	845980	impulses or visual stimuli so they can you basically show the cat certain things um they figured out
845980	854300	what is the response of the visual area of the brain by simply measuring the electrical signal i'm not
854300	858940	going to go into all the detail how from a medical perspective they've done this but basically they show
858940	864300	the cat some stuff they figure out what is the response in the brain of the cat and the experiment they
864300	871260	decided was um was actually very straightforward so they have a stimulus here on a projector so on this
871260	879180	light protector they showed a specific pattern to the cats um and then they noted also specific patterns
880300	885580	in the stimulated activity in specific parts of the brain right so they figured out essentially okay
886140	892460	if you're showing this pattern a specific part of the brain will get um activated and they figured out
893180	899180	certain patterns in this activation region and the result was basically that the visual cortex cells
899180	908140	are sensitive to specific edges um when being shown and they're insensitive to their position for instance
908140	914460	right so in other words it only mattered the orientation of these edges but it didn't matter
916140	920060	where the edge was actually displayed and this was kind of remarkable at the time because
920060	926300	um this is a very fundamental property we will also see in modern neural networks specifically convolutional
926300	932940	networks that we have to be invariant in certain aspects of these features and we have to be very
932940	937820	sensitive to other parts of the features so in other words we have these kind of edge detectors in our
937820	945580	visual cortex it's not just cats human have the same property um so animals um and humans have certain
945580	952060	properties in the visual cortex that basically um they have specific feature record uh feature
952060	961100	detectors um and these abstract like kind of the raw pixels um um from uh what the what the eyes are
961100	966380	sensing um into higher level abstractions and in this case they have this edge detector in a sense that
966380	971660	is insensitive to the location but it is sensitive to the orientation and this is kind of remarkable right
971660	977820	of course this is far away from from figuring out how modern image classification and so on works but
977820	984220	it was kind of one of the foundations of how neural networks and specifically convolutional networks
984220	990620	later on would actually go um and figure out feature abstractions from images okay so this was very
990620	996780	relevant um what was kind of also another funny quote unquote anecdote was the computer vision to
996780	1002940	begin with so i mentioned computer vision was something that people in the 60s uh started to care
1002940	1008380	about um for the specific reason they wanted to figure out for robots how can they interact with the
1008380	1014940	real world so they had to kind of record and sense the real world to some degree right um and it was kind
1014940	1021340	of a funny thing was an mit project which was um a summer project and they called it a summer vision project
1021340	1027900	it was in 1966 actually um and the deal was basically well you're a student at mit right now
1027900	1033420	you're doing a summer project here uh please figure out computer vision over the summer so people realized
1033420	1039020	um yeah it might it might be a little bit more complicated but the time you know when research is
1039020	1045580	starting a new area um they were well positively in a sense they were a bit naive in a sense right so
1045580	1049180	they tried oh wow this is an easy thing we just figured out how computer vision works
1049180	1055340	um and their idea was basically they wanted to figure out um the construction of a significant
1055340	1061900	part of a visual system and they wanted to figure out the development of pattern recognition right so
1061900	1066700	similar to this hubble and diesel experiment because they figured out oh in the visual cortex of humans
1066700	1072540	and animals um there are certain patterns that are being being being sensed and abstracted away um
1072540	1078860	and these patterns essentially they they give you some some impulses in the brain um so you know it was
1078860	1083900	kind of thought this was something they could also do uh and they could you know make computers in
1083900	1091740	a sense learn how to see uh like humans and yeah this was kind of funny because this was um in 1966
1092540	1097340	um and it turns out of course that computer vision is a little bit more complicated than just running
1097340	1103180	a summer vision project but in fact it was very inspirational um because this was kind of the first time
1103180	1111100	when the leading ai scientists um wanted to you know devise a methodology around it um and then this
1111100	1117580	kind of sparked um and gave birth to the field of computer vision so of course computer vision is
1118380	1124140	has grown since then right um and specifically again as we will see the specific use of deep learning
1124140	1130860	in computer vision has grown quite a big a bit um and has spread to many other areas right so like computer
1130860	1137180	vision is the basis of robotics it's connected to nlp and speech but it's also connected to to optics
1137180	1143980	image processing neuroscience ai in general and algorithms and so on right and then it has many
1143980	1151580	many many many real world applications in engineering physics math biology psychology and of course computer
1151580	1157180	science and itself right so i guess what i'm trying to say here is a little bit so computer vision as we
1157180	1163580	will see um will be a very fundamental core to the motivation why the deep learning methods have evolved
