start	end	text
960	6880	Welcome everybody to Introduction to Deep Learning. This is the second lecture and in this
6880	13520	lecture we're going to start with the machine learning basics. If we are remembering very
13520	19200	briefly from the previous lecture we gave a very high level overview of what this lecture content
19200	28720	is going to be and to be very precise I wanted to give a differentiation between AI, ML and DL,
28720	32080	artificial intelligence, machine learning and deep learning and what the differences are.
32880	39520	And this is exactly where we would like to continue today and specifically what we have
39520	45200	discussed was that artificial intelligence was pretty much anything we can write up in a program
45200	50800	even if statement you could in some way consider artificial intelligence and machine learning is
50800	57680	then the next well more sophisticated step where we have kind of a model that is being optimized
57680	58640	and is learning based on AI and DL. So let's get started.
58720	62880	So we have a model that is based on some training data in order to perform a certain task and then
62880	67680	finally we're going to talk about deep learning where we're going to have a neural network as
67680	72640	our model that is then well supposedly more powerful than alternative machine learning
72640	80320	methods. Okay and this is exactly where we would like to continue today and before we step into
80320	85040	these three categories again I would now have the orthogonal thing when we're talking about tasks.
85040	88640	So what I've just talked about was methods right what are learning methods, what are
88720	92960	artificial intelligence methods, algorithms and now we're going to talk about some tasks.
92960	97280	So mainly we want to apply these kind of methods that we have in these categories here.
97280	102160	We want to apply them for instance to computer vision and we would like to start with a very very
102160	108080	simple task here and a simple task could be image classification right. This is the task we're going
108080	115680	to deal with for quite a bit because it's very canonical and it's very practical for
115680	118480	computer vision applications. So what is it about?
118720	123680	It's relatively straightforward. So the task here is essentially give them a set of input images.
124800	130240	What we would like to do is we would like to assign a class label for each of these images
130240	136160	right. So each of these cats here we would like to assign an orange box and each of the dogs here
136160	140880	we would like to assign a blue box. And ideally the way we would like to do this is we have been
140880	146240	feeding this respective image that we want to look at and that we don't know the label yet.
146240	148400	We would like to make a prediction based
148720	153840	on a certain model that we're having for instance right. And this is the whole point of image
153840	161920	classification right. And the idea behind that is basically that we now in a sense having a mapping
161920	169520	from the input which is for instance a set of pixels to some form of output label right. So we
169520	178480	have to find a mapping from a bunch of pixels of this image to which output label is going to be.
179440	186160	And well you could you could imagine why this is becoming relatively complicated because the
186160	191520	diversity in natural images is actually quite complicated. To be a little bit more precise here
192640	197840	we see already that we have quite a high diversity here. But even these images that you see here just
197840	203600	for two simple classes for dogs and cats here you see that they're also relatively straightforward.
203600	208720	Meaning that in each of these images there's a unique label that can be associated to them.
208720	213360	Meaning that there's no mixture of like dogs and cats in the same image. So this is already
213360	218560	a much more simplified task than if you're considering like real world applications.
219360	224480	But even that simple task of image classification where it's a little bit easier. Even that one is
224480	230240	already pretty complicated and worth a look that we will devote quite a bit of time during this
230240	236640	lecture. But why is that even so complicated? And it's actually very straightforward if you're
236640	238560	looking at these images. So for instance if you take a very simple single project image here for instance, so this is one
238560	243680	instance if you're taking these kind of images here you see very briefly that we have a lot of
243680	249440	occlusions meaning that the problem that we're dealing with practically speaking here is that
249440	254180	the real world around us is actually in three dimensions but what the image is actually
254180	258480	portraying and visualizing is just based on two dimensions meaning we have kind of like
258480	265240	like the the camera that took this image took the 3d world and made it 2d and in this projection
265240	270700	the this is not a bijective mapping anymore right so we're losing some information from the 3d world
270700	277460	and we're going to 2d and because of that we can have many many 2d images for the same 3d objects
277460	283880	underneath right and this is a big problem meaning that the resulting well output here has things
283880	288160	like occlusions right so not all the dog here is always visible depending on from which camera
288160	293840	angle the image was taken and each of these images you can also see they have some stuff in it so
293840	295220	this image has a little box in it for example and this is a little box in it for example
295220	295240	so this image has a little box in it for example and this image has a little box in it for example
295240	301160	instance um and and so on so right so these occlusions make it very difficult adding more
301160	307640	complexity to the respective um yeah diversity of images we can also see that the backgrounds
307640	311800	can be vastly different right and this makes a big difference we can have very extreme cases
311800	315720	like these two here right so we can see here there's a white background with the white deck and
315720	320520	uh white dog in the foreground um and they have here a black cat during the night with
320520	325220	a black background right so this is kind of an extreme example why image classification
325220	331780	could become very tricky and why especially for computers it's very difficult to make distinctions
331780	336940	or to assign correct class labels in these specific cases here um and if you're just
336940	342100	continuing this what i've just talked about for instance you're going to you know just go in
342100	347800	google image search and you're trying to find for look for a bunch of cat images you see kind of a
347800	355200	large diversity um in terms of images um so you see very different poses how is the cat
355200	360660	looking what is the current pose like this is one this this kitten is kind of like in this up pose
360660	367020	here right um this cat here sitting down um this cat is like to the side so the cat itself can have
367020	372260	a different pose but also the camera what i just mentioned is because again we go from this 3d world
372260	377980	to the 2d image can also have a different pose right the camera pose here our camera parameters
377980	383580	can vastly change the camera in itself can also change by the way right so we can go ahead um and
383580	385200	have and connect the camera to the camera itself so we can go ahead and have and connect the camera
385200	390000	we can have different lenses we can have different focal lengths like simple autofocus or so might
390000	395680	actually change quite a bit how the image is going to look like um illumination can change um that's
395680	401460	very obvious right and illumination can be quite complicated right day night we have just seen
401460	405960	um but we can also have like vastly different environments basically where we see
405960	411080	um respectively different outputs and then of course we have different appearances with very
411080	415120	very extreme cases where like have a cat is kind of wrapped um like a
415200	421200	burrito and in that case of course it's very difficult to do a proper representation so if
421200	427200	you're summarizing most of these things um and a lot of people who have taken for instance computer
427200	431340	graphics courses they know basically the problem that we're dealing with here right so we're
431340	436740	basically dealing with the 3d world um we have a bunch of in graphics you would say scene parameters
436740	441300	right you have poses where the camera is located you're going to have light sources being
441300	444900	distributed in a scene you're going to apply some shading like
445200	450380	how do the respective materials reflect and so on so all the things that you feed in the graphics
450380	454440	pipeline they're going to tell you at the end of the day how an image is going to look like and as
454440	458400	i said this is not a bi-checked mapping meaning that there's many many images that actually
458400	465000	explain the same 3d underlying project uh object and even what makes matters worse even the 3d
465000	471660	shapes within one class are even diverse too so we have different 3d shapes and each 3d shape
471660	475000	can have different images associated to it and that problem
475200	480900	basically means that well this becomes a pretty difficult problem because for a bunch of like cats
480900	487380	we actually can have quite a large diversity of images and this makes image classification such a
487380	493380	challenging but also interesting problem that we would like to look at one of the key things that
493380	497820	we would also like to talk about in this lecture is what is the actual representation and this is
497820	503820	a really really big question um when i'm talking about classification um the representation for the
503820	504840	most part we're going to use
505200	514500	um as input is going to be a set of pixels it's a 2d array right we have rgb d values maybe probably
514500	520560	not d but most of the time we have rgb depth is not always given um sometimes it's just grayscale
520560	526320	sometimes rgb so these are typically our input representations that we're giving for instance
527520	532620	um when we're looking at a jpeg or a png file but then what we would like to do is we would like to
532620	535140	create higher level representations
535200	538740	and this is the thing we're going to talk a little about and we're going to talk about feature
538740	543720	extraction we would like to talk about representations that basically abstract all
543720	548400	these things away what i've just talked about right a good representation would be that all
548400	553500	of these different things here shouldn't matter for a good representation so this raw representation
553500	559560	of input pixels we would ideally like to map to some high level representation where it's much
559560	564900	easier to do classification um and this is something that we're going to use little networks
565200	569940	um but unfortunately there's still a few things we have to learn first we have to look at a few
569940	575940	things before we actually start with complicated feature learning um instead what we would like to
575940	581280	do is we would like to start a little bit simpler um in fact we would like to start very very soon
581280	588060	so the simplest possible way or the simplest let's say algorithm what we could deal with
588840	595080	um is a very simple classifier and the way what we could do here is
595200	601620	we could do simply nearest neighbor lookups so what does that mean well let's assume we're
601620	608040	having a bunch of images let's also assume um for these images we're going to have labels so
608040	612540	we know their respective classes right so for instance we have these images here uh for these
612540	617400	images we're having one two three four five six cat images we're going to label them with an
617400	622920	orange box this makes it clear that this is an orange box um that refers to cat uh we're going
622920	624840	to have two dogs here they have blue boxes
625200	631920	which is referring to a dog and now what we would like to do is we would consider these ones as our
631920	639060	reference images um reference images is is maybe not the right term the reason why I'm using it is
639060	643080	later we're going to call them training images but at the moment there's no training at the moment
643080	647820	all we would like to do is we would like to take these reference images here um and what we would
647820	653280	like to do is we would like to take a new image here and for this new image we would like to
653280	653700	understand
654540	655140	to
655200	666540	the closest hence the nearest neighbor so which of these other images is our nearest neighbor well
666540	671460	so how do we do that well it comes a little bit back to the question what we've addressed before
671460	677340	what is the right representation so in any kind of representation we would love to compute a distance
677340	683100	in other words what we would love to do is we would take this image and compare it against every
683100	684540	other image here right
684540	688440	right so let's just say we can do that let's just say we have this magic function right now
688440	696300	in how to make that comparison so we take this image compare it computer value this image that
696300	703020	image compare the value and so on and then what we're going to do is we're just going to go ahead
703020	709920	and sort all these images in our reference data set by these distances we just computed
710700	713880	um and we might end up getting something like this right so here we have our reference image
713880	720120	sorry here we have our query image and here we have all these reference images and now we're going
720120	725400	to have um a distance function to each of these ones we're going to get a distance value and we
725400	730740	sort this by distance so these things here this dog image is supposedly to be the closest and
730740	736380	these cat image here they're supposed to be the furthest distant away from this query image that
736380	742800	we have here right and the idea behind this nearest neighbor classifier is after we have computed the
742800	743220	distances
743220	749940	and after we have sorted them by the distance we simply assign the class level to the closest one
749940	755460	so in other words well okay this one is presumably the closest one uh and in this case our nearest
755460	762180	neighbor classifier would simply say well this is a dog right um and that's it now
763140	767880	um you might imagine of course there's a couple of drawbacks you might imagine it could be a large
767880	773160	data set there's a lot of compute involved but it could also be pretty noisy it might be accidentally
773220	780060	that there's like one image of a cat that looks surprisingly similar um and we would like to be
780060	785460	a little bit more robust so instead of saying oh I'm going to try to be the closest to this one dog
785460	790860	here or to this closest image I'm going to say I'm going to just take some sort of a median in
790860	795300	a sense right I'm going to go ahead and say I'm going to take the multiple nearest neighbors and
795300	801660	then simply do a majority vote which once is the majority in the k nearest neighbors so for instance
801660	803100	if we're saying we're setting this
803220	809340	k like this nearest neighbor classifier to a three-way nearest neighbor classifier so k nearest
809340	817560	neighbors where we said k to three um and we take the three closest images here one two three uh and
817560	822060	in this case we would say it's a cat actually right because now we have two images here that
822060	829140	are referring to a cat and um one image that refers to dog so our majority vote here told us
829140	832560	this is a cat of course this is wrong right in this case our
833220	838320	main nearest neighbor classifier was not that great uh but could you can imagine how this
838320	844860	basically changes right so you could imagine if we had a larger set of case we would get a little
844860	851760	bit more robust to the respective data right okay um what's kind of interesting is you can actually
851760	857880	go ahead and take this classifier um and plot it in 2D so in other words what we would love to do
858780	863040	uh we would simply take our data these are our reference images presumably
863220	868020	somehow um and now what we want to do is we want to assign like you want to kind of extrapolate we
868020	871920	want to make sure that the entirety of this 2D area here is going to be filled with associated
871920	878040	labels so no matter where you are in this 2D space you want to figure out what the respective nearest
878040	882060	neighbors are so if I'm here I'm taking the nearest point for instance this one then I
882060	887040	will assign a red here so this this point everything here is basically closest to this
887040	892620	one right everything here in this area is close to this red point and so on so this is just literally
893220	900240	the areas based on which reference image was the closest um and this is pretty straightforward all
900240	906180	you're doing is you're trying to find um the nearest neighbor point from where you are and
906180	910320	then you assign the respective class to where you are at the moment right and this of course
910320	915480	this changes now if you're going from a one nearest neighbor classifier to only taking the
915480	921360	nearest one to a five-way nearest neighbor classifier so from a five-way nearest neighbor
923220	933360	we are trying to figure out um which one like whether it's a little bit more robust so in this
933360	937860	case for instance there's a green point here right you see this so don't confuse my laser pointer
937860	942840	with point um because I have a red laser pointer but there's a green point here uh and here we
942840	947880	assign this one this area here was the closest to this green point and here since we're saying
947880	953160	we have five and nearest neighbor classifier um that means this this green point you get
953220	960360	ignored right so this outlier gets um gets ignored for the time being um and if you have
960360	964740	one outlier in our metric here that means our nearest neighbor classified gets slightly worse
965400	970020	not worse but it's um like here we're getting slightly better because we have five and be
970020	976020	ignoring it and supposed to be an outlet okay so let's have a bit of a discussion what the
976020	982440	implications are between one nearest neighbor five nearest neighbor and so on so let's have a couple
982440	983160	of um
983220	987420	um interesting questions so the first interesting question is well I called this previously the
987420	992280	reference data set in practice that's going to be our training data right uh in the end of the day
992280	996960	we want to train something on it um so if you're performing the nearest neighbor classifier on the
996960	1001580	training data how would this perform on the training data right so this is kind of a trick
1001580	1008480	question because if we're trying to find the closest image and the current image that we're
1008480	1013160	querying is actually in the training data we would assume that the
1013220	1020960	query image finds the perfect reference image which finds itself right in the training in this
1020960	1027920	case you will assume that a nearest neighbor classifier would perform perfectly right it
1027920	1032540	would always find the right image and it would because it finds the right image it would also
1032540	1037040	assign the right class assuming of course our label is correct here we would make the correct
1037040	1043100	classification if you're taking a five and a nearest neighbor classifier that's always the case
1043220	1048260	right so these green points here these green points would not perform perfectly because they
1048260	1052880	would still be assigned to a red color meaning that they would get the wrong label and even
1052880	1057380	though they are performed on the training set they would not be perfect anymore so you can already see
1057380	1063020	that the nearest neighbor classifier and the 5nn classifier they they have slightly different
1063020	1066740	behavior and this is something we're going to later on pick up a little bit we'll be talking
1066740	1071960	about robustness in the context of neural networks like for instance how much do we want to regularize
1071960	1073160	how much we want to smooth the
1073220	1078680	labels and stuff like that this will become very relevant um the second question you want to ask
1078680	1086780	here is which classifier is likely to perform best on the test data well it depends right so
1086780	1092780	the one argument for having a larger K here is we are a little bit better with respect to outliers
1092780	1097760	and with respect to outliers means we actually have a better coverage of the training samples
1097760	1103160	and assuming our distribution is matching better between the training these reference
1103160	1107840	images that we had and the respective query image so in this case we would probably assume
1107840	1113960	that the the 5nn classifier would perform slightly better but there's a caveat I'm
1113960	1120620	going to give you an extreme example so if we are for instance setting our K equal to
1120620	1128360	the total number of images in the training set right um what that would mean is we always going
1128360	1133100	to take every image into account and just do a majority vote of all the images in our training
1133160	1139460	set and if that's the case we're just going to always predict the same label right so that's not
1139460	1145520	going to be very accurate in fact well it's going to just predict the majority class um and it's not
1145520	1149300	a great example so in this case like if you're choosing for instance this K too large that might
1149300	1154940	also be as loud downside so this is something also we have to consider and later on when we're doing
1154940	1162860	neural network optimization uh we can also follow the similar pitfalls here where we would accidentally
1163160	1167240	predict the majority class so this is always a good a good sanity check whenever we're doing
1167240	1172520	classifier training we want to do better than the majority class it's not just the average right if
1172520	1178220	you have more samples from one class we would have to figure out to be better than this one class please
1178220	1185600	to do anything um the next interesting question like what are we actually learning here right
1185600	1191120	remember we've talked about AI versus machine learning versus deep learning so if you want
1191120	1193100	to categorize our nearest neighbor classifier
1193160	1200780	um well so far if you're thinking carefully we haven't really done a lot of learning here right
1200780	1207320	there's no like parameters that are trained based on some training data and in fact we
1207920	1212900	we more or less hard-coded our training sets okay we do have a training set right
1213800	1218600	um but we didn't train any network here right um or we didn't train any model in this case
1218600	1222740	and in practice we just hard-coded our samples and we tried to assign it
1223340	1229460	um and hard-coded in our decision criteria right so which one is closer and based on that we made
1229460	1235640	a decision so there's no actual learning in a sense going on right um however there's a few
1235640	1240860	things we can actually play around with um and these things are some hyper parameters
1242300	1246440	um and higher parameters is a term if you haven't heard it um that's a term that we're going to
1246440	1251660	mention a lot these are basically parameters that are not part of our model in this case we don't
1251660	1253040	have a model so there's no other
1253660	1261020	parameters and these are parameters that are choices for the algorithm itself okay so for
1261020	1265400	instance in this case hyper parameters is something like which distance function we're going to choose
1265400	1270260	so the simplest distance function we could choose for our nearest neighbor classifier could be an
1270260	1275120	L1 distance right so we're just going to take um the pixel values we're going to compare them
1275120	1279260	one by one and we're going to just compute an L1 distance between the r2p values and that's
1279260	1280100	going to give us the distance
